Renda familiar - per capita - média
Sigla;Código;Município;1970;1980;1991;
PE;2601201;Arcoverde;0,37;0,74;0,74;
PE;2601300;Barra de Guabiraba;0,14;0,47;0,38;
PE;2601409;Barreiros;0,31;0,56;0,61;
PE;2601508;Belém de Maria;0,21;0,35;0,32;
PE;2601607;Belém de São Francisco;0,2;0,61;0,46;
PE;2601706;Belo Jardim;0,2;0,48;0,51;
PE;2601805;Betânia;0,12;0,41;0,25;
PE;2601904;Bezerros;0,19;0,43;0,48;
PE;2602001;Bodocó;0,21;0,41;0,32;
PE;2602100;Bom Conselho;0,21;0,48;0,43;
PE;2602209;Bom Jardim;0,13;0,45;0,36;
PE;2602308;Bonito;0,19;0,46;0,41;
PE;2602407;Brejão;0,18;0,38;0,28;
PE;2602506;Brejinho;0,15;0,22;0,3;
PE;2602605;Brejo da Madre de Deus;0,16;0,38;0,49;
PE;2602704;Buenos Aires;0,23;0,45;0,3;
PE;2602803;Buíque;0,13;0,31;0,32;
PE;2602902;Cabo de Santo Agostinho;0,31;0,65;0,57;
PE;2603009;Cabrobó;0,21;0,67;0,51;
PE;2603108;Cachoeirinha;0,17;0,42;0,63;
PE;2603207;Caetés;0,19;0,34;0,33;
PE;2603306;Calçado;0,2;0,39;0,3;
PE;2603405;Calumbi;0,16;0,24;0,23;
PE;2603454;Camaragibe;;;0,65;
PE;2603504;Camocim de São Félix;0,17;0,51;0,63;
PE;2603603;Camutanga;0,24;0,47;0,39;
PE;2603702;Canhotinho;0,16;0,42;0,36;
PE;2603801;Capoeiras;0,14;0,38;0,35;
PE;2603900;Carnaíba;0,12;0,19;0,31;
PE;2603926;Carnaubeira da Penha;;;;
PE;2604007;Carpina;0,27;0,62;0,59;
PE;2604106;Caruaru;0,36;0,85;0,92;
PE;2604155;Casinhas;;;;
PE;2604205;Catende;0,31;0,56;0,41;
PE;2604304;Cedro;0,12;0,4;0,26;
PE;2604403;Chã de Alegria;0,23;0,42;0,31;
PE;2604502;Chã Grande;0,2;0,47;0,49;
PE;2604601;Condado;0,22;0,66;0,47;
PE;2604700;Correntes;0,19;0,42;0,36;
PE;2604809;Cortês;0,27;0,51;0,32;
PE;2604908;Cumaru;0,1;0,27;0,4;
PE;2605004;Cupira;0,16;0,42;0,44;
PE;2605103;Custódia;0,15;0,44;0,36;
PE;2605152;Dormentes;;;;
PE;2605202;Escada;0,29;0,59;0,38;
PE;2605301;Exu;0,14;0,4;0,31;
PE;2605400;Feira Nova;0,2;0,48;0,35;
PE;2605459;Fernando de Noronha;0,65;1,23;1,28;
PE;2605509;Ferreiros;0,18;0,39;0,39;
PE;2605608;Flores;0,14;0,26;0,26;
PE;2605707;Floresta;0,21;0,51;0,42;
PE;2605806;Frei Miguelinho;0,13;0,32;0,35;
PE;2605905;Gameleira;0,28;0,5;0,34;
PE;2606002;Garanhuns;0,36;0,74;0,81;
PE;2606101;Glória do Goitá;0,22;0,42;0,36;
PE;2606200;Goiana;0,35;0,67;0,5;
PE;2606309;Granito;0,16;0,29;0,25;
PE;2606408;Gravatá;0,22;0,54;0,6;
PE;2606507;Iati;0,13;0,33;0,27;
PE;2606606;Ibimirim;0,18;0,42;0,36;
PE;2606705;Ibirajuba;0,12;0,28;0,3;
PE;2606804;Igarassu;0,28;0,59;0,47;
PE;2606903;Iguaraci;0,1;0,37;0,35;
PE;2607000;Inajá;0,14;0,29;0,29;
PE;2607109;Ingazeira;0,15;0,2;0,27;
PE;2607208;Ipojuca;0,26;0,58;0,36;
PE;2607307;Ipubi;0,19;0,37;0,34;
PE;2607406;Itacuruba;0,14;0,82;0,78;
PE;2607505;Itaíba;0,11;0,33;0,31;
PE;2607604;Itamaracá;0,25;0,69;0,7;
PE;2607653;Itambé;0,25;0,45;0,36;
PE;2607703;Itapetim;0,21;0,27;0,32;
PE;2607752;Itapissuma;;;0,37;
PE;2607802;Itaquitinga;0,24;0,79;0,34;
PE;2607901;Jaboatão dos Guararapes;0,41;1,03;1,03;
PE;2607950;Jaqueira;;;;
PE;2608008;Jataúba;0,13;0,29;0,42;
PE;2608057;Jatobá;;;;
PE;2608107;João Alfredo;0,15;0,39;0,44;
PE;2608206;Joaquim Nabuco;0,3;0,52;0,33;
PE;2608255;Jucati;;;;
PE;2608305;Jupi;0,24;0,37;0,3;
PE;2608404;Jurema;0,13;0,32;0,26;
PE;2608453;Lagoa do Carro;;;;
PE;2608503;Lagoa do Itaenga;0,21;0,43;0,34;
PE;2608602;Lagoa do Ouro;0,14;0,44;0,3;
PE;2608701;Lagoa dos Gatos;0,15;0,34;0,31;
PE;2608750;Lagoa Grande;;;;
PE;2608800;Lajedo;0,22;0,48;0,55;
PE;2608909;Limoeiro;0,25;0,58;0,53;
PE;2609006;Macaparana;0,2;0,4;0,38;
PE;2609105;Machados;0,1;0,34;0,31;
PE;2609154;Manari;;;;
PE;2609204;Maraial;0,26;0,49;0,36;
PE;2609303;Mirandiba;0,13;0,35;0,3;
PE;2609402;Moreno;0,28;0,62;0,52;
PE;2609501;Nazaré da Mata;0,29;0,58;0,57;
PE;2609600;Olinda;0,61;1,3;1,24;
PE;2609709;Orobó;0,13;0,38;0,33;
PE;2609808;Orocó;0,22;0,71;0,44;
PE;2609907;Ouricuri;0,15;0,38;0,31;
PE;2610004;Palmares;0,34;0,68;0,55;
PE;2610103;Palmeirina;0,14;0,46;0,33;
PE;2610202;Panelas;0,13;0,27;0,34;
PE;2610301;Paranatama;0,16;0,3;0,36;
PE;2610400;Parnamirim;0,15;0,33;0,3;
PE;2610509;Passira;0,14;0,34;0,33;
PE;2610608;Paudalho;0,24;0,48;0,43;
PE;2610707;Paulista;0,37;1,01;1,07;
PE;2610806;Pedra;0,27;0,34;0,41;
PE;2610905;Pesqueira;0,25;0,55;0,54;
PE;2611002;Petrolândia;0,25;0,65;0,56;
PE;2611101;Petrolina;0,31;0,89;0,82;
PE;2611200;Poção;0,16;0,36;0,4;
PE;2611309;Pombos;0,24;0,5;0,45;
PE;2611408;Primavera;0,23;0,57;0,32;
PE;2611507;Quipapá;0,22;0,56;0,34;
PE;2611533;Quixaba;;;;
PE;2611606;Recife;0,87;1,71;1,74;
PE;2611705;Riacho das Almas;0,21;0,32;0,43;
PE;2611804;Ribeirão;0,31;0,58;0,46;
PE;2611903;Rio Formoso;0,27;0,82;0,32;
PE;2612000;Sairé;0,13;0,37;0,35;
PE;2612109;Salgadinho;0,11;0,28;0,28;
PE;2612208;Salgueiro;0,27;0,66;0,63;
PE;2612307;Saloá;0,16;0,38;0,52;
PE;2612406;Sanharó;0,21;0,42;0,52;
PE;2612455;Santa Cruz;;;;
PE;2612471;Santa Cruz da Baixa Verde;;;;
PE;2612505;Santa Cruz do Capibaribe;0,23;0,9;0,97;
PE;2612554;Santa Filomena;;;;
PE;2612604;Santa Maria da Boa Vista;0,25;0,66;0,52;
PE;2612703;Santa Maria do Cambucá;0,17;0,42;0,29;
PE;2612802;Santa Terezinha;0,31;0,24;0,3;
PE;2612901;São Benedito do Sul;0,23;0,35;0,28;
PE;2613008;São Bento do Una;0,23;0,49;0,53;
PE;2613107;São Caitano;0,17;0,41;0,41;
PE;2613206;São João;0,15;0,37;0,34;
PE;2613305;São Joaquim do Monte;0,16;0,39;0,39;
PE;2613404;São José da Coroa Grande;0,29;0,47;0,36;
PE;2613503;São José do Belmonte;0,13;0,34;0,29;
PE;2613602;São José do Egito;0,33;0,46;0,53;
PE;2613701;São Lourenço da Mata;0,33;0,69;0,53;
PE;2613800;São Vicente Ferrer;0,14;0,42;0,4;
PE;2613909;Serra Talhada;0,21;0,52;0,54;
PE;2614006;Serrita;0,14;0,24;0,29;
PE;2614105;Sertânia;0,22;0,5;0,41;
PE;2614204;Sirinhaém;0,29;0,49;0,3;
PE;2614303;Moreilândia;0,17;0,26;0,2;
PE;2614402;Solidão;0,11;0,15;0,15;
PE;2614501;Surubim;0,19;0,42;0,47;
PE;2614600;Tabira;0,2;0,38;0,42;
PE;2614709;Tacaimbó;0,16;0,41;0,34;
PE;2614808;Tacaratu;0,2;0,34;0,38;
PE;2614857;Tamandaré;;;;
PE;2615003;Taquaritinga do Norte;0,17;0,77;0,65;
PE;2615102;Terezinha;0,16;0,25;0,26;
PE;2615201;Terra Nova;0,15;0,49;0,51;
PE;2615300;Timbaúba;0,28;0,68;0,51;
PE;2615409;Toritama;0,24;0,59;1;
PE;2615508;Tracunhaém;0,21;0,49;0,34;
PE;2615607;Trindade;0,26;0,47;0,41;
PE;2615706;Triunfo;0,17;0,35;0,36;
PE;2615805;Tupanatinga;0,11;0,27;0,24;
PE;2615904;Tuparetama;0,37;0,47;0,42;
PE;2616001;Venturosa;0,19;0,54;0,4;
PE;2616100;Verdejante;0,14;0,37;0,29;
PE;2616183;Vertente do Lério;;;;
PE;2616209;Vertentes;0,19;0,42;0,39;
PE;2616308;Vicência;0,23;0,49;0,36;
PE;2616407;Vitória de Santo Antão;0,3;0,64;0,57;
PE;2616506;Xexéu;;;;
PE;2699919;Muribeca;;;;
PE;2699929;Nossa Senhora do Ó de Goyanna;;;;
PE;2699939;Cimbres;;;;
PI;2200053;Acauã;;;;
PI;2200103;Agricolândia;0,12;0,37;0,22;
PI;2200202;Água Branca;0,16;0,38;0,39;
PI;2200251;Alagoinha do Piauí;;;0,33;
PI;2200277;Alegrete do Piauí;;;;
PI;2200301;Alto Longá;0,15;0,24;0,26;
PI;2200400;Altos;0,15;0,25;0,34;
PI;2200459;Alvorada do Gurguéia;;;;
PI;2200509;Amarante;0,14;0,38;0,35;
PI;2200608;Angical do Piauí;0,09;0,34;0,4;
PI;2200707;Anísio de Abreu;0,08;0,22;0,23;
PI;2200806;Antônio Almeida;0,12;0,22;0,19;
PI;2200905;Aroazes;0,1;0,14;0,23;
PI;2200954;Aroeiras de Itaim;;;;
PI;2201002;Arraial;0,14;0,13;0,28;
PI;2201051;Assunção do Piauí;;;;
PI;2201101;Avelino Lopes;0,06;0,27;0,27;
PI;2201150;Baixa Grande do Ribeiro;;;;
PI;2201176;Barra D'Alcântara;;;;
PI;2201200;Barras;0,17;0,29;0,26;
PI;2201309;Barreiras do Piauí;0,1;0,37;0,32;
PI;2201408;Barro Duro;0,19;0,32;0,4;
PI;2201507;Batalha;0,08;0,26;0,22;
PI;2201556;Bela Vista do Piauí;;;;
PI;2201572;Belém do Piauí;;;;
PI;2201606;Beneditinos;0,15;0,12;0,22;
PI;2201705;Bertolínia;0,12;0,25;0,23;
PI;2201739;Betânia do Piauí;;;;
PI;2201770;Boa Hora;;;;
PI;2201804;Bocaina;0,11;0,27;0,3;
PI;2201903;Bom Jesus;0,15;0,32;0,52;
PI;2201919;Bom Princípio do Piauí;;;;
PI;2201929;Bonfim do Piauí;;;;
PI;2201945;Boqueirão do Piauí;;;;
PI;2201960;Brasileira;;;;
PI;2201988;Brejo do Piauí;;;;
PI;2202000;Buriti dos Lopes;0,14;0,32;0,24;
PI;2202026;Buriti dos Montes;;;;
PI;2202059;Cabeceiras do Piauí;;;;
PI;2202075;Cajazeiras do Piauí;;;;
PI;2202083;Cajueiro da Praia;;;;
PI;2202091;Caldeirão Grande do Piauí;;;;
PI;2202109;Campinas do Piauí;0,14;0,15;0,29;
PI;2202117;Campo Alegre do Fidalgo;;;;
PI;2202133;Campo Grande do Piauí;;;;
PI;2202174;Campo Largo do Piauí;;;;
PI;2202208;Campo Maior;0,17;0,43;0,45;
PI;2202251;Canavieira;;;;
PI;2202307;Canto do Buriti;0,07;0,3;0,3;
PI;2202406;Capitão de Campos;0,1;0,19;0,3;
PI;2202455;Capitão Gervásio Oliveira;;;;
PI;2202505;Caracol;0,08;0,24;0,25;
PI;2202539;Caraúbas do Piauí;;;;
PI;2202554;Caridade do Piauí;;;;
PI;2202604;Castelo do Piauí;0,19;0,29;0,31;
PI;2202653;Caxingó;;;;
PI;2202703;Cocal;0,12;0,29;0,24;
PI;2202711;Cocal de Telha;;;;
PI;2202729;Cocal dos Alves;;;;
PI;2202737;Coivaras;;;;
PI;2202752;Colônia do Gurguéia;;;;
PI;2202778;Colônia do Piauí;;;;
PI;2202802;Conceição do Canindé;0,15;0,19;0,19;
PI;2202851;Coronel José Dias;;;;
PI;2202901;Corrente;0,14;0,44;0,4;
PI;2203008;Cristalândia do Piauí;0,09;0,22;0,25;
PI;2203107;Cristino Castro;0,14;0,25;0,32;
PI;2203206;Curimatá;0,07;0,24;0,26;
PI;2203230;Currais;;;;
PI;2203255;Curralinhos;;;;
PI;2203271;Curral Novo do Piauí;;;;
PI;2203305;Demerval Lobão;0,18;0,3;0,39;
PI;2203354;Dirceu Arcoverde;;;0,26;
PI;2203404;Dom Expedito Lopes;0,11;0,34;0,45;
PI;2203420;Domingos Mourão;0,13;0,16;0,2;
PI;2203453;Dom Inocêncio;;;0,22;
PI;2203503;Elesbão Veloso;0,15;0,27;0,3;
PI;2203602;Eliseu Martins;0,09;0,29;0,28;
PI;2203701;Esperantina;0,16;0,32;0,33;
PI;2203750;Fartura do Piauí;;;;
PI;2203800;Flores do Piauí;0,09;0,31;0,28;
PI;2203859;Floresta do Piauí;;;;
PI;2203909;Floriano;0,33;0,68;0,74;
PI;2204006;Francinópolis;0,12;0,15;0,23;
PI;2204105;Francisco Ayres;0,15;0,22;0,3;
PI;2204154;Francisco Macedo;;;;
PI;2204204;Francisco Santos;0,18;0,39;0,42;
PI;2204303;Fronteiras;0,19;0,32;0,37;
PI;2204352;Geminiano;;;;
PI;2204402;Gilbués;0,06;0,34;0,34;
PI;2204501;Guadalupe;0,39;0,68;0,53;
PI;2204550;Guaribas;;;;
PI;2204600;Hugo Napoleão;0,08;0,26;0,23;
PI;2204659;Ilha Grande;;;;
PI;2204709;Inhuma;0,09;0,29;0,53;
PI;2204808;Ipiranga do Piauí;0,09;0,31;0,33;
PI;2204907;Isaías Coelho;0,11;0,2;0,18;
PI;2205003;Itainópolis;0,11;0,21;0,21;
PI;2205102;Itaueira;0,13;0,28;0,24;
PI;2205151;Jacobina do Piauí;;;;
PI;2205201;Jaicós;0,12;0,26;0,29;
PI;2205250;Jardim do Mulato;;;;
PI;2205276;Jatobá do Piauí;;;;
PI;2205300;Jerumenha;0,13;0,21;0,35;
PI;2205359;João Costa;;;;
PI;2205409;Joaquim Pires;0,1;0,24;0,22;
PI;2205458;Joca Marques;;;;
PI;2205508;José de Freitas;0,16;0,29;0,28;
PI;2205516;Juazeiro do Piauí;;;;
PI;2205524;Júlio Borges;;;;
PI;2205532;Jurema;;;;
PI;2205540;Lagoinha do Piauí;;;;
PI;2205557;Lagoa Alegre;;;;
PI;2205565;Lagoa do Barro do Piauí;;;;
PI;2205573;Lagoa de São Francisco;;;;
PI;2205581;Lagoa do Piauí;;;;
PI;2205599;Lagoa do Sítio;;;;
PI;2205607;Landri Sales;0,1;0,34;0,39;
PI;2205706;Luís Correia;0,18;0,38;0,25;
PI;2205805;Luzilândia;0,17;0,34;0,25;
PI;2205854;Madeiro;;;;
PI;2205904;Manoel Emídio;0,07;0,19;0,18;
PI;2205953;Marcolândia;;;;
PI;2206001;Marcos Parente;0,16;0,28;0,26;
PI;2206050;Massapê do Piauí;;;;
PI;2206100;Matias Olímpio;0,19;0,32;0,22;
PI;2206209;Miguel Alves;0,15;0,23;0,28;
PI;2206308;Miguel Leão;0,12;0,28;0,41;
PI;2206357;Milton Brandão;;;;
PI;2206407;Monsenhor Gil;0,18;0,25;0,27;
PI;2206506;Monsenhor Hipólito;0,14;0,22;0,32;
PI;2206605;Monte Alegre do Piauí;0,12;0,33;0,36;
PI;2206654;Morro Cabeça no Tempo;;;;
PI;2206670;Morro do Chapéu do Piauí;;;;
PI;2206696;Murici dos Portelas;;;;
PI;2206704;Nazaré do Piauí;0,15;0,22;0,22;
PI;2206720;Nazária;;;;
PI;2206753;Nossa Senhora de Nazaré;;;;
PI;2206803;Nossa Senhora dos Remédios;0,17;0,29;0,19;
PI;2206902;Novo Oriente do Piauí;0,17;0,23;0,26;
PI;2206951;Novo Santo Antônio;;;;
PI;2207009;Oeiras;0,14;0,3;0,33;
PI;2207108;Olho D'Água do Piauí;;;;
PI;2207207;Padre Marcos;0,16;0,25;0,28;
PI;2207306;Paes Landim;0,08;0,15;0,21;
PI;2207355;Pajeú do Piauí;;;;
PI;2207405;Palmeira do Piauí;0,07;0,24;0,21;
PI;2207504;Palmeirais;0,18;0,24;0,2;
PI;2207553;Paquetá;;;;
PI;2207603;Parnaguá;0,09;0,41;0,24;
PI;2207702;Parnaíba;0,31;0,62;0,56;
PI;2207751;Passagem Franca do Piauí;;;;
PI;2207777;Patos do Piauí;;;;
PI;2207793;Pau D'Arco do Piauí;;;;
PI;2207801;Paulistana;0,12;0,28;0,26;
PI;2207850;Pavussu;;;;
PI;2207900;Pedro II;0,12;0,17;0,26;
PI;2207934;Pedro Laurentino;;;;
PI;2207959;Nova Santa Rita;;;;
PI;2208007;Picos;0,22;0,47;0,6;
PI;2208106;Pimenteiras;0,12;0,16;0,29;
PI;2208205;Pio IX;0,11;0,26;0,26;
PI;2208304;Piracuruca;0,18;0,36;0,35;
PI;2208403;Piripiri;0,19;0,37;0,38;
PI;2208502;Porto;0,23;0,23;0,2;
PI;2208551;Porto Alegre do Piauí;;;;
PI;2208601;Prata do Piauí;0,14;0,26;0,25;
PI;2208650;Queimada Nova;;;;
PI;2208700;Redenção do Gurguéia;0,07;0,32;0,23;
PI;2208809;Regeneração;0,12;0,18;0,28;
PI;2208858;Riacho Frio;;;;
PI;2208874;Ribeira do Piauí;;;;
PI;2208908;Ribeiro Gonçalves;0,07;0,24;0,28;
PI;2209005;Rio Grande do Piauí;0,15;0,15;0,33;
PI;2209104;Santa Cruz do Piauí;0,14;0,14;0,2;
PI;2209153;Santa Cruz dos Milagres;;;;
PI;2209203;Santa Filomena;0,18;0,21;0,33;
PI;2209302;Santa Luz;0,1;0,1;0,25;
PI;2209351;Santana do Piauí;;;;
PI;2209377;Santa Rosa do Piauí;;;;
PI;2209401;Santo Antônio de Lisboa;0,15;0,21;0,59;
PI;2209450;Santo Antônio dos Milagres;;;;
PI;2209500;Santo Inácio do Piauí;0,09;0,2;0,24;
PI;2209559;São Braz do Piauí;;;;
PI;2209609;São Félix do Piauí;0,18;0,16;0,27;
PI;2209658;São Francisco de Assis do Piauí;;;;
PI;2209708;São Francisco do Piauí;0,09;0,16;0,15;
PI;2209757;São Gonçalo do Gurguéia;;;;
PI;2209807;São Gonçalo do Piauí;0,16;0,23;0,39;
PI;2209856;São João da Canabrava;;;0,25;
PI;2209872;São João da Fronteira;;;;
PI;2209906;São João da Serra;0,16;0,32;0,17;
PI;2209955;São João da Varjota;;;;
PI;2209971;São João do Arraial;;;;
PI;2210003;São João do Piauí;0,18;0,23;0,28;
PI;2210052;São José do Divino;;;;
PI;2210102;São José do Peixe;0,1;0,36;0,27;
PI;2210201;São José do Piauí;0,13;0,27;0,31;
PI;2210300;São Julião;0,13;0,35;0,35;
PI;2210359;São Lourenço do Piauí;;;;
PI;2210375;São Luis do Piauí;;;;
PI;2210383;São Miguel da Baixa Grande;;;;
PI;2210391;São Miguel do Fidalgo;;;;
PI;2210409;São Miguel do Tapuio;0,09;0,15;0,2;
PI;2210508;São Pedro do Piauí;0,15;0,22;0,29;
PI;2210607;São Raimundo Nonato;0,13;0,28;0,39;
PI;2210623;Sebastião Barros;;;;
PI;2210631;Sebastião Leal;;;;
PI;2210656;Sigefredo Pacheco;;;;
PI;2210706;Simões;0,14;0,28;0,31;
PI;2210805;Simplício Mendes;0,15;0,32;0,43;
PI;2210904;Socorro do Piauí;0,09;0,11;0,28;
PI;2210938;Sussuapara;;;;
PI;2210953;Tamboril do Piauí;;;;
PI;2210979;Tanque do Piauí;;;;
PI;2211001;Teresina;0,43;0,94;1,01;
PI;2211100;União;0,16;0,31;0,29;
PI;2211209;Uruçuí;0,1;0,32;0,36;
PI;2211308;Valença do Piauí;0,17;0,34;0,48;
PI;2211357;Várzea Branca;;;;
PI;2211407;Várzea Grande;0,14;0,24;0,25;
PI;2211506;Vera Mendes;;;;
PI;2211605;Vila Nova do Piauí;;;;
PI;2211704;Wall Ferraz;;;;
PR;4100103;Abatiá;0,28;0,66;0,7;
PR;4100202;Adrianópolis;0,38;0,74;0,62;
PR;4100301;Agudos do Sul;0,3;0,67;0,67;
PR;4100400;Almirante Tamandaré;0,45;0,77;0,89;
PR;4100459;Altamira do Paraná;;;0,48;
PR;4100509;Altônia;0,33;0,71;0,7;
PR;4100608;Alto Paraná;0,41;1,16;0,79;
PR;4100707;Alto Piquiri;0,3;0,71;0,59;
PR;4100806;Alvorada do Sul;0,38;0,93;0,88;
PR;4100905;Amaporã;0,3;0,75;0,53;
PR;4101002;Ampére;0,22;0,92;0,62;
PR;4101051;Anahy;;;;
PR;4101101;Andirá;0,43;1,29;0,86;
PR;4101150;Ângulo;;;;
PR;4101200;Antonina;0,63;0,94;0,78;
PR;4101309;Antônio Olinto;0,27;0,54;0,48;
PR;4101408;Apucarana;0,65;1,25;1,18;
PR;4101507;Arapongas;0,72;1,29;1,36;
PR;4101606;Arapoti;0,42;0,86;1,28;
PR;4101655;Arapuã;;;;
PR;4101705;Araruna;0,3;0,58;0,64;
PR;4101804;Araucária;0,56;1,08;1,09;
PR;4101853;Ariranha do Ivaí;;;;
PR;4101903;Assaí;0,48;1,38;1,16;
PR;4102000;Assis Chateaubriand;0,34;1,14;0,99;
PR;4102109;Astorga;0,51;1,24;1,1;
PR;4102208;Atalaia;0,31;0,68;0,85;
PR;4102307;Balsa Nova;0,42;0,99;0,82;
PR;4102406;Bandeirantes;0,45;1,13;0,96;
PR;4102505;Barbosa Ferraz;0,24;0,53;0,6;
PR;4102604;Barracão;0,26;0,67;0,85;
PR;4102703;Barra do Jacaré;0,34;0,84;0,85;
PR;4102752;Bela Vista da Caroba;;;;
PR;4102802;Bela Vista do Paraíso;0,46;1,57;1,04;
PR;4102901;Bituruna;0,3;0,8;0,6;
PR;4103008;Boa Esperança;0,33;0,77;1;
PR;4103024;Boa Esperança do Iguaçu;;;;
PR;4103040;Boa Ventura de São Roque;;;;
PR;4103057;Boa Vista da Aparecida;;;0,4;
PR;4103107;Bocaiúva do Sul;0,32;0,77;0,66;
PR;4103156;Bom Jesus do Sul;;;;
PR;4103206;Bom Sucesso;0,37;0,73;0,74;
PR;4103222;Bom Sucesso do Sul;;;;
PR;4103305;Borrazópolis;0,41;0,82;0,84;
PR;4103354;Braganey;;;0,6;
PR;4103370;Brasilândia do Sul;;;;
PR;4103404;Cafeara;0,28;0,63;0,63;
PR;4103453;Cafelândia;;;1,77;
PR;4103479;Cafezal do Sul;;;;
PR;4103503;Califórnia;0,37;0,74;0,77;
PR;4103602;Cambará;0,54;1,32;1,42;
PR;4103701;Cambé;0,51;1,14;1,03;
PR;4103800;Cambira;0,37;0,68;0,71;
PR;4103909;Campina da Lagoa;0,29;0,75;0,65;
PR;4103958;Campina do Simão;;;;
PR;4104006;Campina Grande do Sul;0,46;0,83;1,02;
PR;4104055;Campo Bonito;;;0,51;
PR;4104105;Campo do Tenente;0,33;0,6;0,55;
PR;4104204;Campo Largo;0,6;1,2;1,1;
PR;4104253;Campo Magro;;;;
PR;4104303;Campo Mourão;0,44;1,25;1,2;
PR;4104402;Cândido de Abreu;0,35;0,49;0,39;
PR;4104428;Candói;;;;
PR;4104451;Cantagalo;;;0,43;
PR;4104501;Capanema;0,3;0,91;0,77;
PR;4104600;Capitão Leônidas Marques;0,29;0,7;0,61;
PR;4104659;Carambeí;;;;
PR;4104709;Carlópolis;0,35;1,04;0,7;
PR;4104808;Cascavel;0,54;1,46;1,53;
PR;4104907;Castro;0,5;1,32;1,16;
PR;4105003;Catanduvas;0,31;0,54;0,79;
PR;4105102;Centenário do Sul;0,34;0,7;0,9;
PR;4105201;Cerro Azul;0,3;0,4;0,46;
PR;4105300;Céu Azul;0,32;1,05;0,99;
PR;4105409;Chopinzinho;0,3;0,88;0,61;
PR;4105508;Cianorte;0,5;1,22;1,16;
PR;4105607;Cidade Gaúcha;0,34;1,22;0,84;
PR;4105706;Clevelândia;0,51;1,28;0,73;
PR;4105805;Colombo;0,5;1;1,03;
PR;4105904;Colorado;0,49;1,12;1,08;
PR;4106001;Congonhinhas;0,3;0,6;0,48;
PR;4106100;Conselheiro Mairinck;0,33;0,7;0,62;
PR;4106209;Contenda;0,47;1,1;0,96;
PR;4106308;Corbélia;0,31;1,05;0,75;
PR;4106407;Cornélio Procópio;0,58;1,48;1,25;
PR;4106456;Coronel Domingos Soares;;;;
PR;4106506;Coronel Vivida;0,36;0,92;0,83;
PR;4106555;Corumbataí do Sul;;;0,36;
PR;4106571;Cruzeiro do Iguaçu;;;;
PR;4106605;Cruzeiro do Oeste;0,41;0,91;0,85;
PR;4106704;Cruzeiro do Sul;0,33;0,74;0,68;
PR;4106803;Cruz Machado;0,25;0,6;0,53;
PR;4106852;Cruzmaltina;;;;
PR;4106902;Curitiba;1,36;2,48;2,56;
PR;4107009;Curiúva;0,38;0,73;0,5;
PR;4107108;Diamante do Norte;0,37;0,79;0,83;
PR;4107124;Diamante do Sul;;;;
PR;4107157;Diamante D'Oeste;;;0,39;
PR;4107207;Dois Vizinhos;0,34;0,83;0,79;
PR;4107256;Douradina;;;0,76;
PR;4107306;Doutor Camargo;0,35;0,88;0,76;
PR;4107405;Enéas Marques;0,24;0,59;0,7;
PR;4107504;Engenheiro Beltrão;0,35;1,28;0,83;
PR;4107520;Esperança Nova;;;;
PR;4107538;Entre Rios do Oeste;;;;
PR;4107546;Espigão Alto do Iguaçu;;;;
PR;4107553;Farol;;;;
PR;4107603;Faxinal;0,38;0,71;0,82;
PR;4107652;Fazenda Rio Grande;;;;
PR;4107702;Fênix;0,28;0,69;0,61;
PR;4107736;Fernandes Pinheiro;;;;
PR;4107751;Figueira;;;0,79;
PR;4107801;Floraí;0,34;1,03;0,94;
PR;4107850;Flor da Serra do Sul;;;;
PR;4107900;Floresta;0,35;1,35;1,3;
PR;4108007;Florestópolis;0,38;0,77;0,84;
PR;4108106;Flórida;0,44;0,78;1,02;
PR;4108205;Formosa do Oeste;0,32;0,63;0,88;
PR;4108304;Foz do Iguaçu;0,65;1,88;1,64;
PR;4108320;Francisco Alves;;0,64;0,65;
PR;4108403;Francisco Beltrão;0,42;1,28;1,1;
PR;4108452;Foz do Jordão;;;;
PR;4108502;General Carneiro;0,37;0,83;0,81;
PR;4108551;Godoy Moreira;;;0,36;
PR;4108601;Goioerê;0,31;1,38;1,09;
PR;4108650;Goioxim;;;;
PR;4108700;Grandes Rios;0,27;0,46;0,61;
PR;4108809;Guaíra;0,38;1,31;1,07;
PR;4108908;Guairaçá;0,31;0,7;0,68;
PR;4108957;Guamiranga;;;;
PR;4109005;Guapirama;0,35;0,81;0,65;
PR;4109104;Guaporema;0,32;0,82;0,56;
PR;4109203;Guaraci;0,39;0,85;1,01;
PR;4109302;Guaraniaçu;0,34;0,73;0,54;
PR;4109401;Guarapuava;0,49;1,18;1,07;
PR;4109500;Guaraqueçaba;0,33;0,44;0,49;
PR;4109609;Guaratuba;0,49;0,95;1,11;
PR;4109658;Honório Serpa;;;;
PR;4109708;Ibaiti;0,37;0,75;0,84;
PR;4109757;Ibema;;;0,64;
PR;4109807;Ibiporã;0,51;1,05;1,06;
PR;4109906;Icaraíma;0,3;0,84;0,62;
PR;4110003;Iguaraçu;0,35;0,88;0,67;
PR;4110052;Iguatu;;;;
PR;4110078;Imbaú;;;;
PR;4110102;Imbituva;0,32;0,87;0,84;
PR;4110201;Inácio Martins;0,34;0,63;0,42;
PR;4110300;Inajá;0,34;0,58;0,68;
PR;4110409;Indianópolis;0,3;0,65;0,56;
PR;4110508;Ipiranga;0,34;0,57;0,54;
